fic_id,chapter_id,para_id,text
11951565,3,1,"Both Iida and Mina were snoring when Ochako ($_ochako) slipped out of the room . She ($_ochako) slowly opened the door , wincing when it creaked slightly , and she ($_ochako) swung it quicker , scooting out as she ($_ochako) pulled it closed behind her ($_ochako) . The faster the better she ($_ochako) supposed , as she ($_ochako) let the machine on the handle click shut with a small whir . She ($_ochako) stood frozen outside of the door , waiting to see if either of them woke up . She ($_ochako) knew Iida ($_iida) would be completely against her ($_ochako) going out alone , but she ($_ochako) had to know if it was him ($_iida) . 
"
11951565,3,2,"Bakugou Katsuki . Leader of the Explodo-Pirates ... Could he ($_iida) really be the boy who had saved her ($_ochako) all those years ago ? He ($_iida) had been such a jerk earlier in the night-then again , he ($_iida) had n't been the nicest when they were children , at least not with his ($_iida) words . She ($_ochako) had n't recognized him ($_iida) at all , so she ($_ochako) did n't expect him ($_iida) to remember her ($_ochako) , and Ochako ($_ochako) looked incredibly different . Her ($_ochako) hair was much shorter , and she ($_ochako) felt she ($_ochako) did n't look as girly , especially in the way she ($_ochako) dressed . She ($_ochako) had to find him ($_iida) and ask ... she ($_ochako) was too impatient to wait for the morning . And what if he ($_iida) did n't show up ? If he ($_iida) disappeared off the island , she ($_ochako) might never have another chance . 
"
11951565,3,3,"Hopping down the stairs , she ($_ochako) leaned against the concierge 's counter . She ($_ochako) rolled the tips of her ($_ochako) fingers over the desk and leaned on her ($_ochako) hand . `` I ($_ochako) have a question , '' she ($_ochako) hummed happily . 
"
11951565,3,4,"""Yeah?"" the_man ($_iida) said tiredly . He ($_iida) looked incredibly bored , his ($_iida) dark top hat covering the majority of his ($_iida) brow . 
"
11951565,3,5,"`` Could you tell me if Bakugou Katsuki , leader of the , uh , Explodo-Pirates has a room here ? '' 
"
11951565,3,6,"The_large_man ($_iida) leaned forward , raising his ($_iida) eyebrow at the girl . `` You know , I ($_iida) 'm not really supposed to tell people about other guests , '' he ($_iida) said . 
"
11951565,3,7,"Ochako ($_ochako) sighed , of course that was the case . In this day and age , privacy was so rare , she ($_ochako) had almost expected to find the information easily . It was n't going to stop her ($_ochako) from pushing . Gripping the counter , she ($_ochako) pulled herself ($_ochako) up on her ($_ochako) tiptoes , leaning over . `` Please , '' she ($_ochako) asked . `` It 's really important that I see him , '' she ($_ochako) urged . `` In fact , I ($_ochako) wo n't leave until you tell me ($_ochako) . '' She ($_ochako) cursed herself ($_ochako) for not bringing her ($_ochako) wallet with her ($_ochako) , a little bribery never hurt anyone . 
"
11951565,3,8,"The_man ($_iida) rolled his ($_iida) eyes , realizing how serious she ($_ochako) was from the way her ($_ochako) brow frowned , staring at him ($_iida) . `` Look , he ($_iida) 's not staying here . I ($_iida) can tell you ($_iida) that guy has his own place in town . The tall apartment building next to Bounty 's Haven . '' 
"
11951565,3,9,"Of course he ($_iida) lived right next to the bar . Smiling , Ochako ($_ochako) lowered herself ($_ochako) to the floor . `` Thank you ($_iida) , '' she ($_ochako) said , and turned on her ($_ochako) heel as she ($_ochako) made her ($_ochako) way out of the hotel . The bar was n't very far , as she ($_ochako) knew from walking to the hotel after they had eaten earlier in the evening , but the walk felt as though it took forever . A few sketchy looking characters called out to her ($_ochako) , but she ($_ochako) ignored them , focusing on her ($_ochako) one goal . She ($_ochako) had to speak to Bakugou again . The closer she ($_ochako) got to the bar , the more her ($_ochako) heart pounded , thinking of what exactly she ($_ochako) would say to him . What could she ($_ochako) say ? She ($_ochako) wanted to thank him again ... 
"
11951565,3,10,"And maybe she ($_ochako) wanted to convince him to go with her ($_ochako) . He 'd helped her ($_ochako) once before , and she ($_ochako) was n't sure why this would be any different of a situation . They were older now , they could fight to get their home back . She ($_ochako) remembered how fiery his red eyes had once been , how he 'd sacrificed himself so she ($_ochako) could get away . Maybe she ($_ochako) just wanted to tell him she ($_ochako) was happy he was alive . 
"
11951565,3,11,"She ($_ochako) stood in front of the tall building , craning her ($_ochako) neck up . It was about 12 stories tall , and one of the larger buildings on the island . Of course it was an apartment building , which meant she ($_ochako) 'd have to figured out which was his . Making her ($_ochako) way to the directory , she ($_ochako) pushed the button , pulling up a bright blue screen . Sliding her ($_ochako) finger down she ($_ochako) searched for his name . `` Aha ! '' she ($_ochako) said as her ($_ochako) eyes fell upon the familiar characters . Bakugou Katsuki , apartment 1208 . Of course he was on the top floor . 
"
11951565,3,12,"Groaning , she ($_ochako) pulled a small pouch from off of the belt tied above her ($_ochako) skirt . Holding the end of the cloth she ($_ochako) dumped the mechanical ball into her ($_ochako) hand . It was small , tiny enough to fit in the palm of her ($_ochako) hand and had patterns of lines and dots covering its copper surface . She ($_ochako) held it up to her ($_ochako) ear , shaking it . `` Hmm ... '' she ($_ochako) muttered . `` Almost out of juice . '' She ($_ochako) looked up to the sky , trying to count how many apartments across 8 would be , though she ($_ochako) was n't sure which side they started on , or if it was evens on this side or odds . 
"
11951565,3,13,"`` It should last me long enough ... '' she ($_ochako) hummed , pushing two of the larger buttons on the ball and twisting the sides to the left , up , left , down , up again and then right . A warm pink glow enveloped her ($_ochako) body , and she ($_ochako) tilted her ($_ochako) head back . Her ($_ochako) skin began to crawl , her ($_ochako) hair slowly rising as she ($_ochako) began to float upwards . The anti-gravity ball would n't last long , so she ($_ochako) knew she ($_ochako) would n't be able to maintain floating next to the building for a long time . 
"
11951565,3,14,"She ($_ochako) pushed off of the ground , shooting up close to the building . The closer she ($_ochako) drew to the top floor , she ($_ochako) realized a loud snoring came from an open window . `` Who keeps their window wide open at night ? '' This island was small , but it was still a heavily populated area . 
"
11951565,3,15,"Peering inside , she ($_ochako) saw a red haired boy laying on the bed , legs awkwardly spread , mouth wide as he snored , drool slipping down his chin . She ($_ochako) wrinkled her ($_ochako) nose , wondering how boys could sleep like that . He snorted , and she ($_ochako) jerked back , sighing with relief when he did n't wake up . Leaning back in , she ($_ochako) realized he looked familiar , maybe one of the boys who was with Bakugou ($_bakugou) at the bar ? Glancing to the side , she ($_ochako) realized the window next to his was also open , and she ($_ochako) pushed herself ($_ochako) that way . Floating outside the window , she ($_ochako) felt her ($_ochako) heart rate quicken when she ($_ochako) saw him . 
"
11951565,3,16,"With how loud he normally was , it was strange to see him in such a relaxed position . His eyes were shut , his mouth barely open . His face looked peaceful , far less angry than it had before . He looked ... handsome , actually , and she ($_ochako) felt a blush rise to her ($_ochako) cheeks . She ($_ochako) shook her ($_ochako) head , realizing she ($_ochako) was somewhat of a creeper , staring at him through the window while he slept . 
"
11951565,3,17,"There was a crackling noise , and she ($_ochako) glanced down as the mechanical ball in her ($_ochako) hand blinked bright red , signaling her ($_ochako) time was almost up . Her ($_ochako) eyes widened as she ($_ochako) felt her ($_ochako) body growing heavier . 
"
11951565,3,18,"With a scream , she ($_ochako) lurched forward , grabbing onto the curtain rod as she ($_ochako) swung into his room , slamming to the ground and tangling herself ($_ochako) in the curtain she ($_ochako) had brought with her ($_ochako) when she ($_ochako) fell . 
"
11951565,3,19,"Gasping for her ($_ochako) breath , she ($_ochako) desperately tried to free herself ($_ochako) as she ($_ochako) rolled around on the ground . Behind her ($_ochako) , she ($_ochako) heard him groan , and move in the bed . # . "" ... the ... hell ? '' he growled , sitting up in bed as she ($_ochako) escaped from her ($_ochako) curtain entanglement . 
"
11951565,3,20,"Squeaking , she ($_ochako) froze , unable to say anything to argue her ($_ochako) case . She ($_ochako) had technically just broke in , even if his window had been open . 
"
11951565,3,21,"And like a flash , he moved towards her ($_ochako) , tackling her ($_ochako) towards the ground as he pulled a knife from his belt , holding it to her ($_ochako) throat . She ($_ochako) winced as her ($_ochako) head hit the floor hard , and she ($_ochako) let out a whimper , tears pooling in the corner of her ($_ochako) eyes . 
"
11951565,3,22,"`` Who the HELL are you and what the FUCK are you doing here ?! '' he screamed , spittle flying into her ($_ochako) face . 
"
11951565,3,23,"She ($_ochako) took a breath , feeling the sharp edge of the knife against her ($_ochako) throat as she ($_ochako) swallowed . `` My ($_ochako) name is ... Uraraka Ochako , your former princess , Bakugou Katsuki . '' 
"
11951565,3,24,"~~
"
11951565,3,25,"All he could hear was the sound of his angered breathing . He could hear the huffed breaths puffing out of his mouth , so when she ($_ochako) said Uraraka_Ochako ($_uraraka) , he was certain he had misheard . This intruder looked nothing like the princess , though she ($_ochako) did have a round , gentle face . Her ($_ochako) hair was far too short , but her ($_ochako) brown eyes did look a little familiar . 
"
11951565,3,26,"He had no idea where the princess had gone , but he doubted she ($_ochako) was some dumb ass thief . So this chick was a damn liar-which only made Bakugou ($_bakugou) even angrier . He pressed the tip of the knife against her ($_ochako) shoulder . `` Liar ! '' 
"
11951565,3,27,"She ($_ochako) winced , slamming her ($_ochako) eyes shut . `` I ($_ochako) 'm not ! I ($_ochako) swear ! '' she ($_ochako) pleaded , her ($_ochako) brown eyes staring up at him with determination . `` If you ($_ochako) give me a chance , '' she ($_ochako) snapped , her ($_ochako) eyes flicking towards the knife , `` I can show you ($_ochako) ! '' 
"
